,data,percent,player,rank
603,321315.5,0.5,qianyu7,5302
604,1771.06,26.0,qianyu7,19292
605,1839.22,25.0,qianyu7,26842
606,735.4,0.5,qianyu7,2347
607,46,6.0,qianyu7,61369
608,0,100.0,qianyu7,1
609,125,0.4,qianyu7,9861
610,51447.71,0.1,qianyu7,326
611,0,null,qianyu7,1
612,15.05,0.4,ZL_82MO,150
613,50,2.8,ZL_82MO,166
614,103610.7,0.1,ZL_82MO,2686
615,74,0.9,ZL_82MO,15272
616,37,0.1,ZL_82MO,null
617,0.79,7.0,ZL_82MO,2964
618,47,0.1,ZL_82MO,412
619,63.51,8.0,ZL_82MO,513
620,37,4.8,ZL_82MO,56490
621,2538,0.1,ZL_82MO,null
622,2544.61,0.1,ZL_82MO,25
623,0,100.0,ZL_82MO,null
624,780.21,1.6,ZL_82MO,221
625,5.68,0.3,ZL_82MO,85
626,0.47,72.0,ZL_82MO,160125
627,7.53,1.5,ZL_82MO,209
628,4258.02,18.0,ZL_82MO,11419
629,0,100.0,ZL_82MO,1
630,0.01,17.0,ZL_82MO,67399
631,0.01,12.0,ZL_82MO,50386
632,1400.14,12.0,ZL_82MO,1335
633,0.64,8.0,ZL_82MO,513
634,557,0.1,ZL_82MO,null
635,3,9.0,ZL_82MO,48300
636,1,14.0,ZL_82MO,14915
637,1,14.0,ZL_82MO,14917
638,420,0.1,ZL_82MO,40
639,0.75,2.7,ZL_82MO,710
640,2,4.3,ZL_82MO,10790
641,1,19.0,ZL_82MO,29684
642,10,13.0,ZL_82MO,38584
643,295,0.1,ZL_82MO,102
644,15,1.1,ZL_82MO,2614
645,3,6.0,ZL_82MO,8578
646,0,100.0,ZL_82MO,null
647,9,2.1,ZL_82MO,42580
648,1986.38,4.6,ZL_82MO,21820
649,1986.38,4.6,ZL_82MO,21820
650,1400.14,11.0,ZL_82MO,1894
651,2094,0.1,ZL_82MO,null
652,183163.4,0.5,ZL_82MO,4341
653,131930.4,0.3,ZL_82MO,7097
654,315093.8,0.5,ZL_82MO,5465
655,2475.18,10.0,ZL_82MO,4718
656,1782.84,26.0,ZL_82MO,28827
657,641.49,0.8,ZL_82MO,3388
658,35,10.0,ZL_82MO,86700
659,0,100.0,ZL_82MO,1
660,223,0.1,ZL_82MO,2088
661,57735.87,0.1,ZL_82MO,214
662,0,100.0,ZL_82MO,1
663,2.95,18.0,DouYuTv_208001,9635
664,13.58,10.0,DouYuTv_208001,5386
665,144592.3,0.1,DouYuTv_208001,836
666,162,0.1,DouYuTv_208001,1524
667,22,0.1,DouYuTv_208001,74
668,0.51,8.0,DouYuTv_208001,7584
669,43,0.1,DouYuTv_208001,537
670,26.54,26.0,DouYuTv_208001,19690
671,140,0.2,DouYuTv_208001,2397
672,2526,0.1,DouYuTv_208001,65
673,2551.68,0.1,DouYuTv_208001,23
674,27,100.0,DouYuTv_208001,null
675,270.87,23.0,DouYuTv_208001,14819
676,1.83,4.2,DouYuTv_208001,2938
677,0.9,57.0,DouYuTv_208001,117367
678,2.55,20.0,DouYuTv_208001,11611
679,2303.22,51.0,DouYuTv_208001,72882
680,0,100.0,DouYuTv_208001,1
681,0.01,17.0,DouYuTv_208001,68403
682,0,100.0,DouYuTv_208001,56108
683,892.55,44.0,DouYuTv_208001,42768
684,0.27,26.0,DouYuTv_208001,19690
685,413,0.1,DouYuTv_208001,50
686,14,0.1,DouYuTv_208001,1374
687,0,100.0,DouYuTv_208001,56090
688,0,100.0,DouYuTv_208001,56108
689,296,0.1,DouYuTv_208001,144
690,0.72,2.8,DouYuTv_208001,968
691,2,4.3,DouYuTv_208001,10790
692,2,6.0,DouYuTv_208001,13501
693,51,0.2,DouYuTv_208001,2135
